id,Captions,URL,Class
16,a train traveling down train tracks near a forest .,http://www.mufoncms.com/files_jeud8334j/91025_submitter_file1__image.jpeg,['suspension bridge']
17,a group of people standing on top of a lush green field .,http://www.mufoncms.com/files_jeud8334j/91022_submitter_file1__4A23B600D8814B60A86C559DED503BFF.jpeg,['pole']
18,a kite flying in the sky over a tree .,http://www.mufoncms.com/files_jeud8334j/91022_submitter_file2__81EFED6721814D0C82FC4AD118575803.jpeg,['rapeseed']
19,a close up of a bird flying in the air,http://www.mufoncms.com/files_jeud8334j/91189_submitter_file2__image.jpeg,['jellyfish']
20,a close up of a person holding a snow board,http://www.mufoncms.com/files_jeud8334j/91189_submitter_file3__image.jpeg,"['nematode, nematode worm, roundworm']"
21,a night view of a city street at night .,http://www.mufoncms.com/files_jeud8334j/91189_submitter_file4__image.jpeg,['volcano']
22,a view of a mountain range from a plane .,http://www.mufoncms.com/files_jeud8334j/91189_submitter_file5__image.jpeg,['volcano']
23,a dark night stand with a clock on the wall .,http://www.mufoncms.com/files_jeud8334j/90223_submitter_file2__20180129024805.jpg,"['spotlight, spot']"
24,a black and white photo of a black and white cat,http://www.mufoncms.com/files_jeud8334j/90223_submitter_file4__20180129025343.jpg,"['nematode, nematode worm, roundworm']"
25,a blue and white photo of a bird flying in the sky .,http://www.mufoncms.com/files_jeud8334j/90317_submitter_file2__683CCBDE849845268707481CA4A382DC.png,"['great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias']"
26,a blue and white photo of a bird flying in the sky .,http://www.mufoncms.com/files_jeud8334j/90317_submitter_file3__762E8C458059439681ECC8B22B0EF68D.jpeg,"['great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias']"
27,a close up of a white and black bird flying in the sky .,http://www.mufoncms.com/files_jeud8334j/90317_submitter_file5__D99B73AD6F194C35949C94492C641008.png,"['nematode, nematode worm, roundworm']"
28,a night time view of a city street at night .,http://www.mufoncms.com/files_jeud8334j/91064_submitter_file1__9F71096EC1CC4A10B23CDC17EBE3FAB2.jpeg,"['spotlight, spot']"
29,a close up of a kite flying in the sky,http://www.mufoncms.com/files_jeud8334j/91145_submitter_file1__551418D22AF54116A5144DD813224F1D.jpeg,['bubble']
30,a view of a wing from an airplane window .,http://www.mufoncms.com/files_jeud8334j/91145_submitter_file2__10AB009BA6324A458EF29FFFA1623035.jpeg,['wing']
31,an airplane flying over a city at sunset .,http://www.mufoncms.com/files_jeud8334j/90915_submitter_file1__51307submitterfile1DSC0069.jpg,"['liner, ocean liner']"
32,a plane flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/90323_submitter_file3__fullsizeoutput64.jpeg,"['warplane, military plane']"
33,a close up of a blue and white kite .,http://www.mufoncms.com/files_jeud8334j/90217_submitter_file1__28053380202590190324196719752393n.jpg,"['nematode, nematode worm, roundworm']"
34,a red and white fire hydrant sitting in the middle of a field .,http://www.mufoncms.com/files_jeud8334j/90138_submitter_file1__LakefrontUfoPenrose.jpg,['suspension bridge']
35,a bench sitting in the middle of a field .,http://www.mufoncms.com/files_jeud8334j/90138_submitter_file2__LakefrontPenrose.jpg,"['lakeside, lakeshore']"
36,a group of birds flying over a body of water .,http://www.mufoncms.com/files_jeud8334j/90138_submitter_file3__LakefrontUfoPenroseedgedetection.jpg,['barn']
37,a fire hydrant in front of a building .,http://www.mufoncms.com/files_jeud8334j/90138_submitter_file4__LakefrontUfoPenroseedgedetectioncroppedsmaller.jpg,['barn']
38,a view of a street light from a car .,http://www.mufoncms.com/files_jeud8334j/90135_submitter_file1__image.jpg,"['mobile home, manufactured home']"
39,a giraffe standing in the middle of a field .,http://www.mufoncms.com/files_jeud8334j/90135_submitter_file2__image.jpg,['rapeseed']
40,a traffic light sitting on the side of a road .,http://www.mufoncms.com/files_jeud8334j/90135_submitter_file3__image.jpg,"['traffic light, traffic signal, stoplight']"
41,a tall clock tower with a sky background,http://www.mufoncms.com/files_jeud8334j/90135_submitter_file4__image.jpg,"['beacon, lighthouse, beacon light, pharos']"
42,a view of a street light from a window .,http://www.mufoncms.com/files_jeud8334j/90135_submitter_file5__image.jpg,['fountain']
43,a group of people standing on top of a mountain .,http://www.mufoncms.com/files_jeud8334j/90132_submitter_file1__ufo.jpg,"['cliff, drop, drop-off']"
44,a bunch of birds that are flying in the air .,http://www.mufoncms.com/files_jeud8334j/90132_submitter_file2__ufocloseup.jpg,"['cliff, drop, drop-off']"
45,a bird flying over a snow covered forest .,http://www.mufoncms.com/files_jeud8334j/90661_submitter_file1__20180121101317.jpg,['nail']
46,a view of an intersection with a traffic light .,http://www.mufoncms.com/files_jeud8334j/90737_submitter_file1__20180312195640.jpg,"['snowplow, snowplough']"
47,a view of a city street from the side of a road .,http://www.mufoncms.com/files_jeud8334j/90737_submitter_file2__20180312195643.jpg,"['snowplow, snowplough']"
48,a very tall clock tower with a sky background,http://www.mufoncms.com/files_jeud8334j/90737_submitter_file3__201803121956401.jpg,['cuirass']
49,a train traveling over a bridge over a river .,http://www.mufoncms.com/files_jeud8334j/90737_submitter_file4__20180312195648.jpg,"['snowplow, snowplough']"
50,a little girl holding a kite in her hands .,http://www.mufoncms.com/files_jeud8334j/90731_submitter_file1__DC343D14209140D3B8AADD95EE49EA0D.png,"['jean, blue jean, denim']"
51,a young boy is playing with a frisbee .,http://www.mufoncms.com/files_jeud8334j/90731_submitter_file2__AE379AF0140F4B5889AE727F50EE4D70.png,"['balance beam, beam']"
52,a young boy is playing with a frisbee .,http://www.mufoncms.com/files_jeud8334j/90731_submitter_file3__4CAB280F969343538423F9B0C16B11CF.png,"['balance beam, beam']"
53,a little girl holding a pink frisbee in her hands .,http://www.mufoncms.com/files_jeud8334j/90731_submitter_file4__2CC8880F309748A7BD3CAE4544AB78FC.png,"['balance beam, beam']"
54,a young boy holding a baseball bat in his hands .,http://www.mufoncms.com/files_jeud8334j/90731_submitter_file5__15A5EBCAFC8245DF91D59886C5B5B90D.png,"['jean, blue jean, denim']"
55,a snow covered mountain with a lot of snow .,http://www.mufoncms.com/files_jeud8334j/90956_submitter_file1__9D3DB743B5134431B1EDBA9ADA2BA43A.jpeg,['wing']
56,a man flying through the air while riding a snowboard .,http://www.mufoncms.com/files_jeud8334j/90956_submitter_file2__039BCBEA4DEA41E3AC047AD5C2B54FBC.jpeg,['knot']
57,a plane flying over a mountain with a sky background,http://www.mufoncms.com/files_jeud8334j/90956_submitter_file3__B5EBFB2B91DC4CFEA68353DF03E1C2A1.jpeg,['geyser']
58,a person in the air on a snowboard .,http://www.mufoncms.com/files_jeud8334j/90956_submitter_file4__7455813CE3354437A0AF26602E7515CD.jpeg,['knot']
59,a view of a mountain range from a plane .,http://www.mufoncms.com/files_jeud8334j/90956_submitter_file5__034B16D4B3E94980967CA2B8CF7B27B1.jpeg,['geyser']
60,a view of an airplane wing from the sky .,http://www.mufoncms.com/files_jeud8334j/90956_submitter_file6__AE486B24C81C47A4A4D0B6AA3FC29E1A.jpeg,['fountain']
61,an airplane wing flying over a body of water .,http://www.mufoncms.com/files_jeud8334j/90956_submitter_file7__485E442EE780442BAD1E37717337AC02.jpeg,['wing']
62,a person on a surfboard in the water .,http://www.mufoncms.com/files_jeud8334j/90956_submitter_file8__75DB65D0E07C4754A38016B66AED6CD8.jpeg,['bubble']
63,a plane flying in the air with a sky background,http://www.mufoncms.com/files_jeud8334j/90421_submitter_file1__IMG2018022416514901.jpeg,"['airship, dirigible']"
64,a pair of scissors and a pair of scissors .,http://www.mufoncms.com/files_jeud8334j/90421_submitter_file2__Screenshot2018022522320801.jpeg,"['web site, website, internet site, site']"
65,a plane flying in the sky over some trees .,http://www.mufoncms.com/files_jeud8334j/90421_submitter_file3__IMG2018022416514902.jpeg,['geyser']
66,a cat sitting in a car looking out the window .,http://www.mufoncms.com/files_jeud8334j/91032_submitter_file1__6B2B55228B1843618E99DA8BBCCF4907.jpeg,"['tub, vat']"
67,a couple of people standing on top of a lush green field .,http://www.mufoncms.com/files_jeud8334j/91082_submitter_file1__D2EBEDA9DF854ECEA99A1E5B6A80272F.jpeg,"['radio telescope, radio reflector']"
68,a view of a river with a bridge in the background .,http://www.mufoncms.com/files_jeud8334j/91082_submitter_file2__114AC76BDD4F467987291036E310EE8B.jpeg,"['lakeside, lakeshore']"
69,a black and white photo of a person flying a kite .,http://www.mufoncms.com/files_jeud8334j/91082_submitter_file3__1C7AFCCC7CA249CEB7C6B41990F4456E.jpeg,['water tower']
70,a black and white photo of people flying kites,http://www.mufoncms.com/files_jeud8334j/91082_submitter_file4__9E70FD8FEE7A477A83AC28BABDFE1D0C.jpeg,['water tower']
71,a black and white photo of a plane flying in the sky .,http://www.mufoncms.com/files_jeud8334j/91082_submitter_file5__45E025AA0ED14786810C581CDD5FE4C9.jpeg,"['parachute, chute']"
72,a kite flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/90557_submitter_file1__20180304125753HDR.jpg,['crane']
73,a plane flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/90557_submitter_file2__20180304125753HDR11.jpg,['kite']
74,a blue and white bird flying in the sky .,http://www.mufoncms.com/files_jeud8334j/90557_submitter_file3__20180304125753HDR111.jpg,"['parachute, chute']"
75,a blue and white airplane flying in the sky .,http://www.mufoncms.com/files_jeud8334j/90104_submitter_file3__DSC00023copy.jpg,['missile']
76,a group of people sitting on top of a bench .,http://www.mufoncms.com/files_jeud8334j/90264_submitter_file1__fountainhills.jpg,"['seashore, coast, seacoast, sea-coast']"
77,a large airplane flying over a city at night .,http://www.mufoncms.com/files_jeud8334j/91072_submitter_file1__405ED86A872C4CB8ADA30B2D52584C7C.jpeg,"['spotlight, spot']"
78,a tall building with a clock on it,http://www.mufoncms.com/files_jeud8334j/91072_submitter_file2__1C36BFDB8A02453B8BFCA4980AE29EAC.jpeg,"['stupa, tope']"
79,a person is flying a kite in the air .,http://www.mufoncms.com/files_jeud8334j/91072_submitter_file3__EF1C9BDB785746D3840B1B0FE462C279.jpeg,['chainlink fence']
80,a tall clock tower with a sky background,http://www.mufoncms.com/files_jeud8334j/91072_submitter_file4__0177F074B9F6498ABC9CE7D5FFF47F83.jpeg,['palace']
81,a close up of a pair of scissors,http://www.mufoncms.com/files_jeud8334j/91071_submitter_file5__croquis001.jpg,"['puck, hockey puck']"
82,a church steeple with a clock on it,http://www.mufoncms.com/files_jeud8334j/91076_submitter_file1__bubble.jpg,"['church, church building']"
83,a large jetliner flying over a large city .,http://www.mufoncms.com/files_jeud8334j/91078_submitter_file1__IMG20180328071625.jpg,['airliner']
84,an airplane is parked on the tarmac at an airport .,http://www.mufoncms.com/files_jeud8334j/91078_submitter_file2__IMG20180328071620.jpg,['airliner']
85,a plane flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/90854_submitter_file1__201802260606223inaV.jpg,['wing']
86,a close up of a red and white <UNK>,http://www.mufoncms.com/files_jeud8334j/90854_submitter_file2__20180315063953DimLights.jpg,"['brambling, Fringilla montifringilla']"
87,a view of a mountain range from an airplane .,http://www.mufoncms.com/files_jeud8334j/90852_submitter_file1__20180318065726.jpg,['wing']
88,a fire hydrant in the middle of a street .,http://www.mufoncms.com/files_jeud8334j/90852_submitter_file2__20180318065716.jpg,['geyser']
89,a fire hydrant sitting in the middle of a road .,http://www.mufoncms.com/files_jeud8334j/90852_submitter_file3__20180318065640.jpg,['fountain']
90,a black and white photo of a fire hydrant .,http://www.mufoncms.com/files_jeud8334j/90852_submitter_file4__20180318065639.jpg,['fountain']
91,a fire hydrant sitting in the middle of a road .,http://www.mufoncms.com/files_jeud8334j/90852_submitter_file5__20180318065636.jpg,['fountain']
92,an airplane wing flying over a mountain range .,http://www.mufoncms.com/files_jeud8334j/91176_submitter_file1__IMG20180324074428.jpg,['wing']
93,a large jetliner flying over a body of water .,http://www.mufoncms.com/files_jeud8334j/90683_submitter_file1__3138BB9E89214BE0B298F2E10FE51684.jpeg,['fountain']
94,a view of a plane flying in the sky .,http://www.mufoncms.com/files_jeud8334j/90683_submitter_file2__34A414ABA17441B6BD24D8B5F00A7612.jpeg,"['great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias']"
95,a group of flowers sitting on top of a table .,http://www.mufoncms.com/files_jeud8334j/90926_submitter_file1__Nic.UFOOrig.jpg,"['patio, terrace']"
96,a kite flying in the sky over a field .,http://www.mufoncms.com/files_jeud8334j/90926_submitter_file2__Nic.UFOzoom1.jpg,"['airship, dirigible']"
97,a black and white cat sitting on top of a window sill .,http://www.mufoncms.com/files_jeud8334j/90926_submitter_file3__Nic.UFOzoom2.jpg,"['quill, quill pen']"
98,a black and white photo of a blue and white umbrella,http://www.mufoncms.com/files_jeud8334j/90926_submitter_file4__Nic.UFOzoom3.jpg,"['albatross, mollymawk']"
99,a person holding a pair of scissors in their hands .,http://www.mufoncms.com/files_jeud8334j/90334_submitter_file1__20180220193522.jpg,['envelope']
100,a pair of scissors sitting on top of a table .,http://www.mufoncms.com/files_jeud8334j/90334_submitter_file2__20180220193537.jpg,['envelope']
101,a plane is flying high in the sky .,http://www.mufoncms.com/files_jeud8334j/90326_submitter_file1__IMG20171009102432.jpg1.jpg,['geyser']
102,a clock tower in the middle of a city .,http://www.mufoncms.com/files_jeud8334j/90203_submitter_file1__ufo.jpg,"['bell cote, bell cot']"
103,a person on a snow board flying through the air,http://www.mufoncms.com/files_jeud8334j/90144_submitter_file1__objextintrails.jpg,['wing']
104,a plane flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/90144_submitter_file2__object2.jpg,['fireboat']
105,a blue and white airplane flying in the sky .,http://www.mufoncms.com/files_jeud8334j/90707_submitter_file1__20171002113443.jpg,"['traffic light, traffic signal, stoplight']"
106,a group of people flying kites in the sky .,http://www.mufoncms.com/files_jeud8334j/90707_submitter_file2__GoldEgg.jpg,"['parachute, chute']"
107,a plane flying in the air with a sky background,http://www.mufoncms.com/files_jeud8334j/91137_submitter_file1__08A875374F2748048588C0927FCC9CD2.jpeg,['airliner']
108,a view of a bridge over the water .,http://www.mufoncms.com/files_jeud8334j/90806_submitter_file2__IMG20180316195929.jpg,['pier']
109,a large body of water with a bridge in the background .,http://www.mufoncms.com/files_jeud8334j/90806_submitter_file3__IMG20180316195923.jpg,"['dock, dockage, docking facility']"
110,a city street filled with lots of traffic .,http://www.mufoncms.com/files_jeud8334j/90806_submitter_file4__MVIMG20180316195903.jpg,"['traffic light, traffic signal, stoplight']"
111,a large clock tower towering over a city .,http://www.mufoncms.com/files_jeud8334j/90806_submitter_file5__MVIMG20180316195849.jpg,['pier']
112,a car driving down a road with a stop sign .,http://www.mufoncms.com/files_jeud8334j/90963_submitter_file1__9B317F547D7B4312930F79F9774C4429.jpeg,['car mirror']
113,a giraffe standing in the middle of a lush green field .,http://www.mufoncms.com/files_jeud8334j/90418_submitter_file1__thumbnail.jpg,['obelisk']
114,a clock tower in the middle of a forest .,http://www.mufoncms.com/files_jeud8334j/91003_submitter_file1__2DEBBE79E3C14887A33D89ECD0CBD34E.jpeg,['geyser']
115,a bird perched on top of a tree branch .,http://www.mufoncms.com/files_jeud8334j/90564_submitter_file1__IMG3337.jpg,['kite']
116,a flock of birds sitting on top of a tree .,http://www.mufoncms.com/files_jeud8334j/90564_submitter_file2__IMG3308.jpg,['vulture']
117,a bird flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/90564_submitter_file3__IMG3322.jpg,"['bald eagle, American eagle, Haliaeetus leucocephalus']"
118,a large jetliner flying through a cloudy blue sky .,http://www.mufoncms.com/files_jeud8334j/90564_submitter_file4__IMG3316.jpg,['kite']
119,a red and white bird flying in the sky .,http://www.mufoncms.com/files_jeud8334j/90564_submitter_file5__IMG3327.jpg,"['bald eagle, American eagle, Haliaeetus leucocephalus']"
120,a bird flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/90564_submitter_file6__IMG3307.jpg,['vulture']
121,a bird flying in the air with a sky background,http://www.mufoncms.com/files_jeud8334j/90564_submitter_file7__IMG3319.jpg,"['bald eagle, American eagle, Haliaeetus leucocephalus']"
122,a small boat in a body of water,http://www.mufoncms.com/files_jeud8334j/90346_submitter_file1__95D999F43DFA49B0871FC049FB33E182.png,"['seashore, coast, seacoast, sea-coast']"
123,a boat floating on top of a body of water .,http://www.mufoncms.com/files_jeud8334j/90346_submitter_file2__566AE19777154DCCB0270B47084FA0E8.png,"['seashore, coast, seacoast, sea-coast']"
124,a view of a body of water with mountains in the background .,http://www.mufoncms.com/files_jeud8334j/90346_submitter_file3__3D9164FA6ED94042B413422EDD6859D1.png,"['seashore, coast, seacoast, sea-coast']"
125,a close up of a pair of scissors,http://www.mufoncms.com/files_jeud8334j/90346_submitter_file4__9DB4034F3AA04408A9A701915DE3371C.png,"['web site, website, internet site, site']"
126,a plane is flying over a field of grass .,http://www.mufoncms.com/files_jeud8334j/90660_submitter_file1__01UFO.jpg,['volcano']
127,an airplane flying over a building with a sky background,http://www.mufoncms.com/files_jeud8334j/90660_submitter_file2__02UFO.jpg,['missile']
128,an airplane flying in the sky over a building .,http://www.mufoncms.com/files_jeud8334j/90660_submitter_file3__03UFO.jpg,['missile']
129,a black and white photo of a surf board on the beach .,http://www.mufoncms.com/files_jeud8334j/90660_submitter_file4__04croped.jpg,['tick']
130,a white and blue toothbrush in a white bucket .,http://www.mufoncms.com/files_jeud8334j/90660_submitter_file5__04cropedFilter.jpg,"['lacewing, lacewing fly']"
131,a man standing in front of a large building .,http://www.mufoncms.com/files_jeud8334j/90184_submitter_file1__20180202003121.jpg,"['container ship, containership, container vessel']"
132,a traffic light sitting on the side of a road .,http://www.mufoncms.com/files_jeud8334j/90184_submitter_file2__20180201010331.jpg,['library']
133,a traffic light suspended over a city street .,http://www.mufoncms.com/files_jeud8334j/90184_submitter_file3__20180201010325.jpg,"['fire engine, fire truck']"
134,a clock tower in the middle of a city .,http://www.mufoncms.com/files_jeud8334j/90184_submitter_file4__20180201010304.jpg,['library']
135,a man standing in front of a large building .,http://www.mufoncms.com/files_jeud8334j/90184_submitter_file5__20180202003121.jpg,"['container ship, containership, container vessel']"
136,a view of a field of grass and a kite .,http://www.mufoncms.com/files_jeud8334j/90180_submitter_file1__Screenshot20180211133853.jpg,['barn']
137,a person is flying a kite in a field .,http://www.mufoncms.com/files_jeud8334j/90180_submitter_file2__Screenshot20180211133820.jpg,['golf ball']
138,a plane flying in the air with a sky background,http://www.mufoncms.com/files_jeud8334j/90933_submitter_file1__DumbbellshapedUFO20170821Time1335.jpg,['obelisk']
139,a close up of a tooth brush in a sink,http://www.mufoncms.com/files_jeud8334j/90442_submitter_file1__IMG20180224222505.jpg,['volcano']
140,a bird flying in the air with a sky background,http://www.mufoncms.com/files_jeud8334j/90442_submitter_file2__IMG20180224222639.jpg,"['common newt, Triturus vulgaris']"
141,a view of a plane flying in the sky .,http://www.mufoncms.com/files_jeud8334j/90442_submitter_file3__IMG20180224222437.jpg,['volcano']
142,a black and white photo of a person on a skateboard .,http://www.mufoncms.com/files_jeud8334j/90442_submitter_file5__IMG20180226214634.jpg,['volcano']
143,a stop sign on a road with a sky background,http://www.mufoncms.com/files_jeud8334j/90833_submitter_file1__20180317222739.png,['bubble']
144,a black and white photo of a snow covered street .,http://www.mufoncms.com/files_jeud8334j/90833_submitter_file2__Screenshot20180317210305.jpg,['park bench']
145,a city street at night with a traffic light .,http://www.mufoncms.com/files_jeud8334j/90833_submitter_file3__20180317225547.jpg,['obelisk']
146,a city street filled with lots of traffic .,http://www.mufoncms.com/files_jeud8334j/90833_submitter_file4__20180317225534.jpg,['obelisk']
147,a street sign on the side of a road .,http://www.mufoncms.com/files_jeud8334j/90527_submitter_file1__1029111430.jpg,"['trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi']"
148,a black and white photo of a cat in a window,http://www.mufoncms.com/files_jeud8334j/90527_submitter_file2__1029111541.jpg,['shower curtain']
149,a close up of a blue and white fire hydrant .,http://www.mufoncms.com/files_jeud8334j/90527_submitter_file3__1029111542.jpg,"['walking stick, walkingstick, stick insect']"
150,a close up of a vase with a plant in it,http://www.mufoncms.com/files_jeud8334j/90527_submitter_file4__10291116430002.jpg,['stingray']
151,a white and black bird is standing in a window,http://www.mufoncms.com/files_jeud8334j/90527_submitter_file5__10291115420005.jpg,"['lighter, light, igniter, ignitor']"
152,a man is standing on a boat in the water .,http://www.mufoncms.com/files_jeud8334j/90527_submitter_file6__10291116430001.jpg,['vault']
153,a man holding a frisbee in his right hand .,http://www.mufoncms.com/files_jeud8334j/90527_submitter_file7__10291115420001.jpg,"['walking stick, walkingstick, stick insect']"
154,a street sign on the side of a road .,http://www.mufoncms.com/files_jeud8334j/90526_submitter_file1__1029111430.jpg,"['trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi']"
155,a black and white photo of a cat in a window,http://www.mufoncms.com/files_jeud8334j/90526_submitter_file2__1029111541.jpg,['shower curtain']
156,a close up of a blue and white fire hydrant .,http://www.mufoncms.com/files_jeud8334j/90526_submitter_file3__1029111542.jpg,"['walking stick, walkingstick, stick insect']"
157,a close up of a vase with a plant in it,http://www.mufoncms.com/files_jeud8334j/90526_submitter_file4__10291116430002.jpg,['stingray']
158,a white and black bird is standing in a window,http://www.mufoncms.com/files_jeud8334j/90526_submitter_file5__10291115420005.jpg,"['lighter, light, igniter, ignitor']"
159,a man is standing on a boat in the water .,http://www.mufoncms.com/files_jeud8334j/90526_submitter_file6__10291116430001.jpg,['vault']
160,a street sign on the side of a road .,http://www.mufoncms.com/files_jeud8334j/90525_submitter_file1__1029111430.jpg,"['trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi']"
161,a black and white photo of a cat in a window,http://www.mufoncms.com/files_jeud8334j/90525_submitter_file2__1029111541.jpg,['shower curtain']
162,a close up of a blue and white fire hydrant .,http://www.mufoncms.com/files_jeud8334j/90525_submitter_file3__1029111542.jpg,"['walking stick, walkingstick, stick insect']"
163,a close up of a vase with a plant in it,http://www.mufoncms.com/files_jeud8334j/90525_submitter_file4__10291116430002.jpg,['stingray']
164,a white and black bird is standing in a window,http://www.mufoncms.com/files_jeud8334j/90525_submitter_file5__10291115420005.jpg,"['lighter, light, igniter, ignitor']"
165,a man is standing on a boat in the water .,http://www.mufoncms.com/files_jeud8334j/90525_submitter_file6__10291116430001.jpg,['vault']
166,a man holding a frisbee in his right hand .,http://www.mufoncms.com/files_jeud8334j/90525_submitter_file7__10291115420001.jpg,"['walking stick, walkingstick, stick insect']"
167,a person is flying a kite in the sky .,http://www.mufoncms.com/files_jeud8334j/90290_submitter_file3__IMG18831.jpg,"['nematode, nematode worm, roundworm']"
168,a close up of a person holding a skate board,http://www.mufoncms.com/files_jeud8334j/90290_submitter_file4__IMG1882.jpg,['ping-pong ball']
169,a kite flying in the sky over a field .,http://www.mufoncms.com/files_jeud8334j/90788_submitter_file1__fullsizeoutput4248.jpeg,"['parachute, chute']"
170,a herd of sheep grazing on a lush green hillside .,http://www.mufoncms.com/files_jeud8334j/90788_submitter_file2__fullsizeoutput47d2.jpeg,['llama']
171,a large mountain range with mountains in the background .,http://www.mufoncms.com/files_jeud8334j/90788_submitter_file3__fullsizeoutput4249.jpeg,"['valley, vale']"
172,a person flying a kite in a field .,http://www.mufoncms.com/files_jeud8334j/90629_submitter_file1__20180306180753.jpg,"['flagpole, flagstaff']"
173,a person riding skis down a snow covered slope .,http://www.mufoncms.com/files_jeud8334j/90652_submitter_file1__vzdlenfotka.png,['alp']
174,a close up of a bird in a body of water,http://www.mufoncms.com/files_jeud8334j/90652_submitter_file2__velkpiblen.png,"['solar dish, solar collector, solar furnace']"
175,a flock of birds flying through a cloudy sky .,http://www.mufoncms.com/files_jeud8334j/90652_submitter_file3__sloenobrzeksufo.png,"['web site, website, internet site, site']"
176,a white and black bird flying in the sky .,http://www.mufoncms.com/files_jeud8334j/90652_submitter_file4__prvnpiblen.png,['jellyfish']
177,a close up of a clock on a wall,http://www.mufoncms.com/files_jeud8334j/90652_submitter_file5__detailjednalod.png,['abacus']
178,a white and blue boat traveling down a river .,http://www.mufoncms.com/files_jeud8334j/90659_submitter_file5__28512014543627132673704415353958n.jpg,['geyser']
179,a blue and white airplane flying in the sky .,http://www.mufoncms.com/files_jeud8334j/90308_submitter_file1__659BE8A103F44517A4C609836FF23F20.jpeg,"['parachute, chute']"
180,a view of a snowy mountain with trees in the background .,http://www.mufoncms.com/files_jeud8334j/90979_submitter_file1__20180323150857.jpg,['fountain']
181,a stop light that is on a pole .,http://www.mufoncms.com/files_jeud8334j/90979_submitter_file2__20180323150856.jpg,['fountain']
182,a stop light that is in the snow .,http://www.mufoncms.com/files_jeud8334j/90979_submitter_file3__201803231508560.jpg,['fountain']
183,a black and white photo of a computer mouse .,http://www.mufoncms.com/files_jeud8334j/91178_submitter_file1__20171006184101.jpg,['ping-pong ball']
184,a herd of cattle grazing on a lush green hillside .,http://www.mufoncms.com/files_jeud8334j/91012_submitter_file1__224754C05F924331A27001929630E197.jpeg,"['valley, vale']"
185,a group of people flying kites in a field .,http://www.mufoncms.com/files_jeud8334j/90977_submitter_file2__B9B915772E7E4C46B6AC13E7E734D3B2.jpeg,"['traffic light, traffic signal, stoplight']"
