lat,lon,Country,URL,Summary,id,Captions,Class,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7
16.975375800000002,121.81070790000001,Philippines,http://www.mufoncms.com/files_jeud8334j/91131_submitter_file2__DSC0123.JPG,Objects found after taking photos in isabela,244,a view of a mountain range with a sky background,['rapeseed'],rapeseed,,,,,,
16.975375800000002,121.81070790000001,Philippines,http://www.mufoncms.com/files_jeud8334j/91131_submitter_file3__DSC01232.JPG,Objects found after taking photos in isabela,245,a person flying a kite in a cloudy sky .,"['parachute, chute']",parachute, chute,,,,,
47.06281591,-122.1195986,United States,http://www.mufoncms.com/files_jeud8334j/91119_submitter_file1__8996A574AF974A2D860FBE268316424E.jpeg,Awakened by dogs barking. saw object circling area. took picture,4,a black and white photo of a stop sign,['missile'],missile,,,,,,
47.06281591,-122.1195986,United States,http://www.mufoncms.com/files_jeud8334j/91119_submitter_file2__153D320F8B47445495D62FFFB23F32CD.jpeg,Awakened by dogs barking. saw object circling area. took picture,5,a view of a bunch of trees in the rain .,"['racket, racquet']",racket, racquet,,,,,
50.913965999999995,-3.869415,United Kingdom,http://www.mufoncms.com/files_jeud8334j/91082_submitter_file1__D2EBEDA9DF854ECEA99A1E5B6A80272F.jpeg,Travelling home from work in my car noticed a very large stationery pyramid/diamond shape ufo.,67,a couple of people standing on top of a lush green field .,"['radio telescope, radio reflector']",radio telescope, radio reflector,,,,,
50.913965999999995,-3.869415,United Kingdom,http://www.mufoncms.com/files_jeud8334j/91082_submitter_file2__114AC76BDD4F467987291036E310EE8B.jpeg,Travelling home from work in my car noticed a very large stationery pyramid/diamond shape ufo.,68,a view of a river with a bridge in the background .,"['lakeside, lakeshore']",lakeside, lakeshore,,,,,
50.913965999999995,-3.869415,United Kingdom,http://www.mufoncms.com/files_jeud8334j/91082_submitter_file3__1C7AFCCC7CA249CEB7C6B41990F4456E.jpeg,Travelling home from work in my car noticed a very large stationery pyramid/diamond shape ufo.,69,a black and white photo of a person flying a kite .,['water tower'],water tower,,,,,,
50.913965999999995,-3.869415,United Kingdom,http://www.mufoncms.com/files_jeud8334j/91082_submitter_file4__9E70FD8FEE7A477A83AC28BABDFE1D0C.jpeg,Travelling home from work in my car noticed a very large stationery pyramid/diamond shape ufo.,70,a black and white photo of people flying kites,['water tower'],water tower,,,,,,
50.913965999999995,-3.869415,United Kingdom,http://www.mufoncms.com/files_jeud8334j/91082_submitter_file5__45E025AA0ED14786810C581CDD5FE4C9.jpeg,Travelling home from work in my car noticed a very large stationery pyramid/diamond shape ufo.,71,a black and white photo of a plane flying in the sky .,"['parachute, chute']",parachute, chute,,,,,
28.425342699999998,-81.31211481,United States,http://www.mufoncms.com/files_jeud8334j/91078_submitter_file1__IMG20180328071625.jpg,See attached photo,83,a large jetliner flying over a large city .,['airliner'],airliner,,,,,,
28.425342699999998,-81.31211481,United States,http://www.mufoncms.com/files_jeud8334j/91078_submitter_file2__IMG20180328071620.jpg,See attached photo,84,an airplane is parked on the tarmac at an airport .,['airliner'],airliner,,,,,,
39.81646757,-105.1076652,United States,http://www.mufoncms.com/files_jeud8334j/91076_submitter_file1__bubble.jpg,Was taking pictures of many jet streams and saw in photo later,82,a church steeple with a clock on it,"['church, church building']",church, church building,,,,,
28.39264856,-81.43556472,United States,http://www.mufoncms.com/files_jeud8334j/91072_submitter_file1__405ED86A872C4CB8ADA30B2D52584C7C.jpeg,Random photo taken of sun and noticed object when looking at photos later,77,a large airplane flying over a city at night .,"['spotlight, spot']",spotlight, spot,,,,,
28.39264856,-81.43556472,United States,http://www.mufoncms.com/files_jeud8334j/91072_submitter_file2__1C36BFDB8A02453B8BFCA4980AE29EAC.jpeg,Random photo taken of sun and noticed object when looking at photos later,78,a tall building with a clock on it,"['stupa, tope']",stupa, tope,,,,,
28.39264856,-81.43556472,United States,http://www.mufoncms.com/files_jeud8334j/91072_submitter_file3__EF1C9BDB785746D3840B1B0FE462C279.jpeg,Random photo taken of sun and noticed object when looking at photos later,79,a person is flying a kite in the air .,['chainlink fence'],chainlink fence,,,,,,
28.39264856,-81.43556472,United States,http://www.mufoncms.com/files_jeud8334j/91072_submitter_file4__0177F074B9F6498ABC9CE7D5FFF47F83.jpeg,Random photo taken of sun and noticed object when looking at photos later,80,a tall clock tower with a sky background,['palace'],palace,,,,,,
50.6001533,2.9602453,France,http://www.mufoncms.com/files_jeud8334j/91071_submitter_file1__IMG3056.JPG,,232,a plane flying over a building with a clock tower .,['wreck'],wreck,,,,,,
50.6001533,2.9602453,France,http://www.mufoncms.com/files_jeud8334j/91071_submitter_file2__IMG3057.JPG,,233,a clock tower in the middle of a city .,['tile roof'],tile roof,,,,,,
50.6001533,2.9602453,France,http://www.mufoncms.com/files_jeud8334j/91071_submitter_file3__maisonmdormoy.PNG,,234,a group of people sitting on a bench in front of a building .,"['traffic light, traffic signal, stoplight']",traffic light, traffic signal, stoplight,,,,
50.6001533,2.9602453,France,http://www.mufoncms.com/files_jeud8334j/91071_submitter_file4__maisonmdormoy2.PNG,,235,a group of people standing on top of a lush green field .,"['common newt, Triturus vulgaris']",common newt, Triturus vulgaris,,,,,
50.6001533,2.9602453,France,http://www.mufoncms.com/files_jeud8334j/91071_submitter_file5__croquis001.jpg,,81,a close up of a pair of scissors,"['puck, hockey puck']",puck, hockey puck,,,,,
27.7458626,-81.5306313,United States,http://www.mufoncms.com/files_jeud8334j/91064_submitter_file1__9F71096EC1CC4A10B23CDC17EBE3FAB2.jpeg,Standing outside smoking noticed hovering object,28,a night time view of a city street at night .,"['spotlight, spot']",spotlight, spot,,,,,
32.23517621,-110.7908683,United States,http://www.mufoncms.com/files_jeud8334j/91057_submitter_file1__0CAAA790C3F64F0EB1E012CCA6BBF4F1.jpeg,A silver/ red object came out of nowhere when viewing star. ,7,a bird is perched on a branch of a tree .,['Norfolk terrier'],Norfolk terrier,,,,,,
32.23517621,-110.7908683,United States,http://www.mufoncms.com/files_jeud8334j/91057_submitter_file2__4C5A3D07A6294F08BED4E65EE770E012.jpeg,A silver/ red object came out of nowhere when viewing star. ,8,a person holding an umbrella in the rain .,['bow'],bow,,,,,,
32.23517621,-110.7908683,United States,http://www.mufoncms.com/files_jeud8334j/91057_submitter_file3__66A8A4952F6246B78DB0E06804D2DECC.jpeg,A silver/ red object came out of nowhere when viewing star. ,9,a black and white photo of a bird,['bow'],bow,,,,,,
32.23517621,-110.7908683,United States,http://www.mufoncms.com/files_jeud8334j/91057_submitter_file4__49B955507DAC4FD8A068D121E3934255.jpeg,A silver/ red object came out of nowhere when viewing star. ,10,a black and white photo of a person holding a soccer ball,['miniature poodle'],miniature poodle,,,,,,
32.23517621,-110.7908683,United States,http://www.mufoncms.com/files_jeud8334j/91057_submitter_file5__2C873DA732DF433FA42CBEA0C344ACE2.jpeg,A silver/ red object came out of nowhere when viewing star. ,11,a black and white photo of a person holding a remote control .,"['notebook, notebook computer']",notebook, notebook computer,,,,,
39.50957528,2.492581746,Spain,http://www.mufoncms.com/files_jeud8334j/91053_submitter_file1__201803270h11min.jpg,Ufo hovering over santa ponsa 27/03/2018,6,a black and white photo of a man in a suit,['digital clock'],digital clock,,,,,,
53.72966829999999,-127.63773049999999,Canada,http://www.mufoncms.com/files_jeud8334j/91032_submitter_file1__6B2B55228B1843618E99DA8BBCCF4907.jpeg,Watching the nasa iss live web cam feed i saw lights/objects appear then fade into the darkness.,66,a cat sitting in a car looking out the window .,"['tub, vat']",tub, vat,,,,,
31.973768800000002,-99.8973731,United States,http://www.mufoncms.com/files_jeud8334j/91028_submitter_file1__IMG13071.jpg,Strange,15,a kite flying in the sky with a sky background,"['parachute, chute']",parachute, chute,,,,,
20.8857195,-156.4266215,United States,http://www.mufoncms.com/files_jeud8334j/91025_submitter_file1__image.jpeg,While driving on hwy i spotted object in the sky. i did not think picture would come out with anything but it caught two orbs. i wasn't sure what they were and thought the object looked interesting.,16,a train traveling down train tracks near a forest .,['suspension bridge'],suspension bridge,,,,,,
34.1370859,-118.2198305,United States,http://www.mufoncms.com/files_jeud8334j/91022_submitter_file1__4A23B600D8814B60A86C559DED503BFF.jpeg,I noticed it in photo seconds after taking the photo. i never saw it,17,a group of people standing on top of a lush green field .,['pole'],pole,,,,,,
34.1370859,-118.2198305,United States,http://www.mufoncms.com/files_jeud8334j/91022_submitter_file2__81EFED6721814D0C82FC4AD118575803.jpeg,I noticed it in photo seconds after taking the photo. i never saw it,18,a kite flying in the sky over a tree .,['rapeseed'],rapeseed,,,,,,
37.9157368,-122.5354963,United States,http://www.mufoncms.com/files_jeud8334j/91012_submitter_file1__224754C05F924331A27001929630E197.jpeg,Unknown flying objiect in pano photo,184,a herd of cattle grazing on a lush green hillside .,"['valley, vale']",valley, vale,,,,,
34.9035397,-77.54183420000001,United States,http://www.mufoncms.com/files_jeud8334j/91003_submitter_file1__2DEBBE79E3C14887A33D89ECD0CBD34E.jpeg,I opened the back doorbell to my house to let the dogs out and there they were. 5 of them total   i have a live picture on my iphones ,114,a clock tower in the middle of a forest .,['geyser'],geyser,,,,,,
39.58791504,-86.27681628,United States,http://www.mufoncms.com/files_jeud8334j/90979_submitter_file1__20180323150857.jpg,Seen this blue dot in the sky in my pics of the circle rainbow in the sky,180,a view of a snowy mountain with trees in the background .,['fountain'],fountain,,,,,,
39.58791504,-86.27681628,United States,http://www.mufoncms.com/files_jeud8334j/90979_submitter_file2__20180323150856.jpg,Seen this blue dot in the sky in my pics of the circle rainbow in the sky,181,a stop light that is on a pole .,['fountain'],fountain,,,,,,
39.58791504,-86.27681628,United States,http://www.mufoncms.com/files_jeud8334j/90979_submitter_file3__201803231508560.jpg,Seen this blue dot in the sky in my pics of the circle rainbow in the sky,182,a stop light that is in the snow .,['fountain'],fountain,,,,,,
33.8419116,-111.94275420000001,United States,http://www.mufoncms.com/files_jeud8334j/90977_submitter_file2__B9B915772E7E4C46B6AC13E7E734D3B2.jpeg,Giant falling fireball,185,a group of people flying kites in a field .,"['traffic light, traffic signal, stoplight']",traffic light, traffic signal, stoplight,,,,
33.8419116,-111.94275420000001,United States,http://www.mufoncms.com/files_jeud8334j/90977_submitter_file3__27277CED698C4C1BA7C97095BE4705DB.jpeg,Giant falling fireball,186,a giraffe standing in the middle of a field .,"['megalith, megalithic structure']",megalith, megalithic structure,,,,,
42.5558381,-114.4700518,United States,http://www.mufoncms.com/files_jeud8334j/90973_submitter_file1__IMG36492.JPG,I have no idea what i photographed. i am hoping you can help.,237,a view of a city street with a stop light .,"['thatch, thatched roof']",thatch, thatched roof,,,,,
42.5558381,-114.4700518,United States,http://www.mufoncms.com/files_jeud8334j/90973_submitter_file2__IMG36562.JPG,I have no idea what i photographed. i am hoping you can help.,238,a view of a city skyline from a distance .,['fountain'],fountain,,,,,,
42.5558381,-114.4700518,United States,http://www.mufoncms.com/files_jeud8334j/90973_submitter_file3__IMG36662.JPG,I have no idea what i photographed. i am hoping you can help.,239,a view of a clock tower in the snow .,['fountain'],fountain,,,,,,
42.5558381,-114.4700518,United States,http://www.mufoncms.com/files_jeud8334j/90973_submitter_file4__IMG36681.JPG,I have no idea what i photographed. i am hoping you can help.,240,a person riding a snowboard down a snow covered slope .,"['lakeside, lakeshore']",lakeside, lakeshore,,,,,
42.5558381,-114.4700518,United States,http://www.mufoncms.com/files_jeud8334j/90973_submitter_file5__IMG36692.JPG,I have no idea what i photographed. i am hoping you can help.,241,a red stop sign sitting on the side of a road .,"['church, church building']",church, church building,,,,,
42.5558381,-114.4700518,United States,http://www.mufoncms.com/files_jeud8334j/90973_submitter_file6__IMG36702.JPG,I have no idea what i photographed. i am hoping you can help.,242,a red and white fire hydrant sitting in the middle of a forest .,['fountain'],fountain,,,,,,
35.693775200000005,-105.93356899999999,United States,http://www.mufoncms.com/files_jeud8334j/90963_submitter_file1__9B317F547D7B4312930F79F9774C4429.jpeg,I caught this object coming out of the clouds,112,a car driving down a road with a stop sign .,['car mirror'],car mirror,,,,,,
29.959725800000005,-90.0698523,United States,http://www.mufoncms.com/files_jeud8334j/90956_submitter_file1__9D3DB743B5134431B1EDBA9ADA2BA43A.jpeg,Photos show what was seen while flying from houston to ft. lauderdale ,55,a snow covered mountain with a lot of snow .,['wing'],wing,,,,,,
29.959725800000005,-90.0698523,United States,http://www.mufoncms.com/files_jeud8334j/90956_submitter_file2__039BCBEA4DEA41E3AC047AD5C2B54FBC.jpeg,Photos show what was seen while flying from houston to ft. lauderdale ,56,a man flying through the air while riding a snowboard .,['knot'],knot,,,,,,
29.959725800000005,-90.0698523,United States,http://www.mufoncms.com/files_jeud8334j/90956_submitter_file3__B5EBFB2B91DC4CFEA68353DF03E1C2A1.jpeg,Photos show what was seen while flying from houston to ft. lauderdale ,57,a plane flying over a mountain with a sky background,['geyser'],geyser,,,,,,
29.959725800000005,-90.0698523,United States,http://www.mufoncms.com/files_jeud8334j/90956_submitter_file4__7455813CE3354437A0AF26602E7515CD.jpeg,Photos show what was seen while flying from houston to ft. lauderdale ,58,a person in the air on a snowboard .,['knot'],knot,,,,,,
29.959725800000005,-90.0698523,United States,http://www.mufoncms.com/files_jeud8334j/90956_submitter_file5__034B16D4B3E94980967CA2B8CF7B27B1.jpeg,Photos show what was seen while flying from houston to ft. lauderdale ,59,a view of a mountain range from a plane .,['geyser'],geyser,,,,,,
29.959725800000005,-90.0698523,United States,http://www.mufoncms.com/files_jeud8334j/90956_submitter_file6__AE486B24C81C47A4A4D0B6AA3FC29E1A.jpeg,Photos show what was seen while flying from houston to ft. lauderdale ,60,a view of an airplane wing from the sky .,['fountain'],fountain,,,,,,
29.959725800000005,-90.0698523,United States,http://www.mufoncms.com/files_jeud8334j/90956_submitter_file7__485E442EE780442BAD1E37717337AC02.jpeg,Photos show what was seen while flying from houston to ft. lauderdale ,61,an airplane wing flying over a body of water .,['wing'],wing,,,,,,
29.959725800000005,-90.0698523,United States,http://www.mufoncms.com/files_jeud8334j/90956_submitter_file8__75DB65D0E07C4754A38016B66AED6CD8.jpeg,Photos show what was seen while flying from houston to ft. lauderdale ,62,a person on a surfboard in the water .,['bubble'],bubble,,,,,,
50.275153700000004,-119.2677807,Canada,http://www.mufoncms.com/files_jeud8334j/90949_submitter_file1__849D074B3F1E4B3E8CF062733B6790D3.jpeg,I observed this phenomenon as i drove past. ,12,a person is flying a kite in a field .,['alp'],alp,,,,,,
35.87460857,-84.92607159999999,United States,http://www.mufoncms.com/files_jeud8334j/90933_submitter_file1__DumbbellshapedUFO20170821Time1335.jpg,I took a picture of the eclipsed sun during the great american solar eclipse.  later,138,a plane flying in the air with a sky background,['obelisk'],obelisk,,,,,,
28.08103059,-81.56195596,United States,http://www.mufoncms.com/files_jeud8334j/90932_submitter_file2__DSC0401.JPG,Orb that changed direction and varied in color,255,a black and white photo of a man flying a kite .,"['pool table, billiard table, snooker table']",pool table, billiard table, snooker table,,,,
28.08103059,-81.56195596,United States,http://www.mufoncms.com/files_jeud8334j/90932_submitter_file3__DSC0387.JPG,Orb that changed direction and varied in color,256,a person is flying a kite in the sky .,['sea snake'],sea snake,,,,,,
28.08103059,-81.56195596,United States,http://www.mufoncms.com/files_jeud8334j/90932_submitter_file4__DSC0399.JPG,Orb that changed direction and varied in color,257,a person flying a kite in a cloudy sky .,['balloon'],balloon,,,,,,
12.114992599999999,-86.23617440000001,Nicaragua,http://www.mufoncms.com/files_jeud8334j/90926_submitter_file1__Nic.UFOOrig.jpg,Ufo pics taken in managua nicaragua 2/13/10,95,a group of flowers sitting on top of a table .,"['patio, terrace']",patio, terrace,,,,,
12.114992599999999,-86.23617440000001,Nicaragua,http://www.mufoncms.com/files_jeud8334j/90926_submitter_file2__Nic.UFOzoom1.jpg,Ufo pics taken in managua nicaragua 2/13/10,96,a kite flying in the sky over a field .,"['airship, dirigible']",airship, dirigible,,,,,
12.114992599999999,-86.23617440000001,Nicaragua,http://www.mufoncms.com/files_jeud8334j/90926_submitter_file3__Nic.UFOzoom2.jpg,Ufo pics taken in managua nicaragua 2/13/10,97,a black and white cat sitting on top of a window sill .,"['quill, quill pen']",quill, quill pen,,,,,
12.114992599999999,-86.23617440000001,Nicaragua,http://www.mufoncms.com/files_jeud8334j/90926_submitter_file4__Nic.UFOzoom3.jpg,Ufo pics taken in managua nicaragua 2/13/10,98,a black and white photo of a blue and white umbrella,"['albatross, mollymawk']",albatross, mollymawk,,,,,
47.7569441,-120.7390885,United States,http://www.mufoncms.com/files_jeud8334j/90925_submitter_file1__SAM2902.JPG,Unusually bright,219,a laptop computer sitting on top of a desk .,['iPod'],iPod,,,,,,
47.7569441,-120.7390885,United States,http://www.mufoncms.com/files_jeud8334j/90925_submitter_file2__SAM2905.JPG,Unusually bright,220,a close up of a person holding a pair of scissors,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,,,,
47.7569441,-120.7390885,United States,http://www.mufoncms.com/files_jeud8334j/90925_submitter_file3__SAM2906.JPG,Unusually bright,221,a close up of a person holding a pair of scissors,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,,,,
47.7569441,-120.7390885,United States,http://www.mufoncms.com/files_jeud8334j/90925_submitter_file4__SAM2907.JPG,Unusually bright,222,a black and white photo of a computer mouse .,"['binder, ring-binder']",binder, ring-binder,,,,,
36.787121,-119.41313240000001,United States,http://www.mufoncms.com/files_jeud8334j/90915_submitter_file1__51307submitterfile1DSC0069.jpg,While at night i saw a bright white roundish/oval shaped solid orb no sound and was stationary i saw a minutes watching and taking photos that it had moved slowly over the grapevines and then vanished.,31,an airplane flying over a city at sunset .,"['liner, ocean liner']",liner, ocean liner,,,,,
34.8729695,-111.7581996,United States,http://www.mufoncms.com/files_jeud8334j/90899_submitter_file1__20180317115756.jpg,Bright star like objects in the air.,278,a lone horse standing on a mountain side .,['alp'],alp,,,,,,
34.8729695,-111.7581996,United States,http://www.mufoncms.com/files_jeud8334j/90899_submitter_file2__20180317115817.jpg,Bright star like objects in the air.,279,a large mountain range with mountains in the background .,['alp'],alp,,,,,,
41.94921613,-85.02459805,United States,http://www.mufoncms.com/files_jeud8334j/90892_submitter_file1__20180317060721SingleLight.jpg,Flying in formation,280,a red and white bird sitting on top of a clock .,"['binder, ring-binder']",binder, ring-binder,,,,,
41.94921613,-85.02459805,United States,http://www.mufoncms.com/files_jeud8334j/90892_submitter_file2__20180317060727SingleLIight2.jpg,Flying in formation,281,a close up of a person holding a remote,"['binder, ring-binder']",binder, ring-binder,,,,,
41.93053976,-85.03209994,United States,http://www.mufoncms.com/files_jeud8334j/90889_submitter_file4__20180315063953DimLights.jpg,Flying in formation,282,a close up of a red and white <UNK>,"['brambling, Fringilla montifringilla']",brambling, Fringilla montifringilla,,,,,
41.2073216,-77.1929547,United States,http://www.mufoncms.com/files_jeud8334j/90888_submitter_file1__DSC01982.JPG,Starry sky,283,a traffic light suspended over a city street .,['jellyfish'],jellyfish,,,,,,
41.2073216,-77.1929547,United States,http://www.mufoncms.com/files_jeud8334j/90888_submitter_file2__DSC01983.JPG,Starry sky,284,a black and white photo of a <UNK>,['jellyfish'],jellyfish,,,,,,
41.2073216,-77.1929547,United States,http://www.mufoncms.com/files_jeud8334j/90888_submitter_file3__DSC01986.JPG,Starry sky,285,a black and white photo of a clock tower .,['bubble'],bubble,,,,,,
41.2073216,-77.1929547,United States,http://www.mufoncms.com/files_jeud8334j/90888_submitter_file4__DSC01988.JPG,Starry sky,286,a view of a city skyline from a plane .,"['hammerhead, hammerhead shark']",hammerhead, hammerhead shark,,,,,
41.2073216,-77.1929547,United States,http://www.mufoncms.com/files_jeud8334j/90888_submitter_file5__DSC02049.JPG,Starry sky,287,a large airplane flying through a cloudy sky .,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,,,,
41.2073216,-77.1929547,United States,http://www.mufoncms.com/files_jeud8334j/90888_submitter_file6__DSC02050.JPG,Starry sky,288,a man is flying a kite in the air .,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,,,,
41.2073216,-77.1929547,United States,http://www.mufoncms.com/files_jeud8334j/90888_submitter_file7__DSC02051.JPG,Starry sky,289,a black and white photo of a plane flying in the sky .,['jellyfish'],jellyfish,,,,,,
41.2073216,-77.1929547,United States,http://www.mufoncms.com/files_jeud8334j/90888_submitter_file8__DSC02052.JPG,Starry sky,290,a view of a plane flying in the sky .,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,,,,
41.92820705,-85.00920499,United States,http://www.mufoncms.com/files_jeud8334j/90886_submitter_file1__201802260606223inaV.jpg,I noticed something flying around and snapped a photo of it ,291,a plane flying in the sky with a sky background,['wing'],wing,,,,,,
32.91042841,-97.02916082,United States,http://www.mufoncms.com/files_jeud8334j/90882_submitter_file1__Screenshot201803191534291.png,Reported yesterday green glowing triangle i now think is the fasten seat belt sign,292,a dog is sitting in the back of a truck .,['digital clock'],digital clock,,,,,,
32.91042841,-97.02916082,United States,http://www.mufoncms.com/files_jeud8334j/90882_submitter_file2__Screenshot20180319135508.png,Reported yesterday green glowing triangle i now think is the fasten seat belt sign,293,a man in a suit and tie holding a sign,"['web site, website, internet site, site']",web site, website, internet site, site,,,
32.91042841,-97.02916082,United States,http://www.mufoncms.com/files_jeud8334j/90882_submitter_file3__Screenshot201803191926261.png,Reported yesterday green glowing triangle i now think is the fasten seat belt sign,294,a close up of a black and white microwave,['stove'],stove,,,,,,
41.90693746,-84.99962995,United States,http://www.mufoncms.com/files_jeud8334j/90854_submitter_file1__201802260606223inaV.jpg,Flying in formation,85,a plane flying in the sky with a sky background,['wing'],wing,,,,,,
41.90693746,-84.99962995,United States,http://www.mufoncms.com/files_jeud8334j/90854_submitter_file2__20180315063953DimLights.jpg,Flying in formation,86,a close up of a red and white <UNK>,"['brambling, Fringilla montifringilla']",brambling, Fringilla montifringilla,,,,,
32.89638454,-97.02727757,United States,http://www.mufoncms.com/files_jeud8334j/90852_submitter_file1__20180318065726.jpg,Spirit airlines flight from dallas fort worth texas. took photos of sunrise around 6:30 am. did not see triangle until i looked at the pictures later,87,a view of a mountain range from an airplane .,['wing'],wing,,,,,,
32.89638454,-97.02727757,United States,http://www.mufoncms.com/files_jeud8334j/90852_submitter_file2__20180318065716.jpg,Spirit airlines flight from dallas fort worth texas. took photos of sunrise around 6:30 am. did not see triangle until i looked at the pictures later,88,a fire hydrant in the middle of a street .,['geyser'],geyser,,,,,,
32.89638454,-97.02727757,United States,http://www.mufoncms.com/files_jeud8334j/90852_submitter_file3__20180318065640.jpg,Spirit airlines flight from dallas fort worth texas. took photos of sunrise around 6:30 am. did not see triangle until i looked at the pictures later,89,a fire hydrant sitting in the middle of a road .,['fountain'],fountain,,,,,,
32.89638454,-97.02727757,United States,http://www.mufoncms.com/files_jeud8334j/90852_submitter_file4__20180318065639.jpg,Spirit airlines flight from dallas fort worth texas. took photos of sunrise around 6:30 am. did not see triangle until i looked at the pictures later,90,a black and white photo of a fire hydrant .,['fountain'],fountain,,,,,,
