Captions,Class,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Id,URL,id,text
,,,,,,,,,,,DEFE-24-1925_263,"”’iﬂnz

ROYAL AIR FORCE
St Mawgan Newquay Cornwall T88 4HP

Please reply (0

 

} 2b Ofﬁcer Commanding
40 Your reference ~
ﬂOD Ma in Building
{2:1 ""2 2.21221 1 Our reference 335/1 6 ??fll/lOl’g

Lenﬁcn
3 931A 211B Date 2 3 May 3. 98 {:1

 

'31?:B~421FIFIB FLYIJG uﬁJEiC““~

 

1. 1‘1: 2:- enclased lei'fsuszzn-w were rec 2211,13. vac: eived cm the
stator}. 02’: see‘wing; gui- 21221106: ftm m0: Gus 25;: Li 223.25

2,315. zim‘f :2 P K} hgé awn 1:69 that. ‘taey be sent
to yam}.- r3.enartment far acticm

2. 2‘; 8.252022%; 181MB has; ”nae..- sent 120-513221st15;
' t he can expect some res sponge.

aim of our ac 2,101. and “L‘aa.
fro... ??""D in (2.22:: camses

133212221 osuz‘es :

1a tier PJFCIC KR/SR dated 10 Mav 85
9 ' d 4 5

L8 1
Le ”rte? PUFEIC 42/215


”’iﬂn"
,,,,,,,,,,,DEFE-24-1925_288,"j»
“133125.21sz 3;? 2:.1;;11.m.

‘ ’1’; I‘Imr‘gh ’lQﬁﬁLm
_CO]§ 1"")? 8-. 1:57;

 

Unidcnliﬁcd Flying Object"". ~ ‘

/

Sir Patric}; Wan asked [lac Srcmtary of Smic for
Dcfcncc (1) how many nllcgcd landings oy unidentiﬁed
ﬂymg ohjccls have been made in 1980, 193|. 1982 and
1933. x‘cspsctivcly; and how many haw bccn invcsliwrcd
by his D:par‘.:ncnt's p;.rsonn:l; . D

(2) how nun) unexplaincd sightings lhcrc m-c been in
)980, 1981, 1932 and 1983, respectively; and which of '
lhcw had been Haccd by radar and mm what result.

iMxx Lcc {pnrmnm (0 his reply,- 9 March 1984, c. 723]:
For 112: years in qucslion.1hc Ministry of Defence rcccivcd
the. following numbers of rcpons of sightings of ﬂying
objects which xhc observer could not identify: 350, 600,
'250, and 390. chons of ailcgcd iandings arc nnl
separately idcmiﬁcd. T‘nc Dcmnmcm was saiisﬁcd that
none of these rcpans was of any defence signiﬁcance and,
in such cases, docs no: maimain rccords of thc extent of

its investigations.
r...—

 

 

 

«wm.m~ _ ‘ .0.

>43-


j»
“1"
,,,,,,,,,,,DEFE-24-1925_275,"216 Conclusion: Who Goes There?

inside It did not move from its position. Wallace and some of the
men approached the object to within about ten feet. Two cows in the ﬁeld
had come over to the object and according to Wallace, appeared to be just
staring at it, oblivious to the security men in the area.

A radio call was heard over a ﬁeld radio unit. A helicopter pilot said,
“Here it comes."" In the distance, a red light appeared, ﬁrst behind a pine
tree, then in front of it. The light quickly sped over to the aspirin-shaped
object and hovered at a position about twenty feet above it. After maintaining
this position for a minute, the red light broke up. No explosion occurred
in the conventional sense. The light merely broke up into a shower of particles.

Suddenly, in the place of the red light and the aspirin-shaped object,
another vehicle appeared. Wallace said it was a domed disc. bright white
in color, with an intricately detailed surface much like the models used in
movies like “Star Wars” and “Close Encounters.“ It had two appendages
on the lower flange of the disc which seemed to be the beginning of delta
wings but not quite. Shadows were cast on the surface of the disc by some
of the raised-rclief detail. Wallace and the men with him walked around
the object and noticed an interesting effect. Their own shadows were cast
onto the object, probably by the bright “light-alls"" in the ﬁeld. Not only
did their shadows bend upwards at the head, but as they walked and then
stopped, the shadows would appear to advance one pace more and then
stop. Stunned and disbelieving of this eﬁ‘ect, Wallace and the others walked
and stopped several times, each time noticing the effect repeat itself. Addition-
ally, the third time that they tried this, a light came over the head of a
shadow and moved from one head to another.

Wallace recalled turning to say a few words to one of the men. The
next thing he knew, he woke up in bed, fully dressed and muddy up to his
knees. Wallace asked one of his companions in the barracks what time he
had come in. He replied 4:00 A.M. At that point he did not remember what
had happened that night. As he went about his usual duties, Wallace began
to recall the events.

A phone call came later in the day. Wallace was summoned to his
commander’s ofﬁce along with other security policemen who were at the
scene of the UFO activity. Civilians were in the ofﬁce also, giving Wallace
the impression of being CIA personnel. The commander politely advised
the men not to talk about the night’s events to anyone. They were brought
into another room where the civilians, much more stern and rude, reminded
the men of their duty and ordered them never to discuss the matter with
anyone. They were checked for radiation, debriefed for an hour, and made
to sign forms which revemphasized the high security nature of what happened.
Wallace and others were put on a call-in schedule by which they would be
required to phone a certain number daily at 11:30 A.M. as a check on their
whereabouts and activities.

Wallace recalled being shown a ﬁlm on UFOs in a room with other


216 C"
,,,,,,,,,,,DEFE-24-1925_261,":0 mWNING STREET.
WHITEHALR .. ._

 

We attach a letter which

raceivod.

It refers to wgpgndan‘fou-‘on’ ............
\.._...—»~«-""‘

Piease arrange thﬁéT'ﬁ/‘ﬁﬁ'

W:

Please arrange for your Department to send a fa}!
reply as soon as possible. If you are not responsibls
for this matter. please transier the letter to the
appropriate Department and _i_¢_:_t__ us know. Not
writer.

 

( ) We have not sent an acknowledgement.
( ) Wé have sent a plain acknowledgement.

ﬁx)"" We have sent an acknowiedgement. saying
that the letter is receiving attention.

( ) A copy of the acknowledgement which we
have sent is attached.

Corresponde cc Section _/.

 


:0 mW"
,,,,,,,,,,,DEFE-24-1925_249,"AP?EARANCES OF THE DEAD~A.CULTURAL EISTORY OF GHOSTS/Pa C. Finucane
(Prometheus) 232 pages m $18095“

THE ENIGMA 0F DANIEL HOEE » MEDIUm OR FRAUD/Trevor Ho Hail (Prometheué)
152 pages - $16595.

MINDSTEPS TO THE cosmos/herald s. Hawkins (Souvenir) 552 ?ages — ?.

THE MAYA/Eichacl D. Coe (revised) (Thames & Hudson) 192 pages — £h-95.
AFTER THE PHILADELPHIA EXPERILENT/Gray Barker (New Age Books) 212.95.
UFOS IN SOUTH AFRICﬁ/Frank Saute (vantage) $8950.

STRANGE m TANTS/John Keel » £7.95,* ‘

MY FRIEND FROM BEYOND EARQH/Frank Stranges (New Edition) £5.00.*

THE UFO CONSPIRACY/Trank Stranges — £5.90.*

*The above three books are available from Susan Strebbing, 41 Terminus
Drive, Herne Bay, Kent, CT6 GFRV

QEKTUARIEsn

Lou Zimsstage ~ Eagle, Switzerland on January 19th. - 79.
Kenneth Arnold — Washington, USA on January 16th. — 68.
Peter Kolosimo _ Milan, Italy on March 25rﬁ. — 620

m

MAGAZINES AND BOOKS FOR SAIE.

 

A substantial amount UFO and related material is available from
OSEAP - no silly prices as can be found with dealers; For a comprehensive
list send 65p; to the Centre's addreS°. Overseas readers write for
international price, including postage.

-.-~,.. ....~...-...

Bad news cbncerning the magazine ‘Contra', published by waiter Hain
in Austria, Because of a lack of sunport the publication has had to
cease ~ after a promiging start it’s sad to see yet another wothwhile
effort falhcr.

~~~ooOoow~~
BOQK REVIEWS.

ASTRONOMY/David ENans (1982) ~ 290 pages, index, bibliography, illustd.
Price: £2095 from Hodder & Stoughton, Mill Road, Dunton Green, Sevenoaks,
Kento This is another title from the publisher's ‘Teaeh Yourself? series,
this edition being the eighth _ having originally been published back in
$952. The author is well qualified being Professor of Astronomy at the
Uhiversity of Texas. .ﬁs would be expected it is a very good primer on
the subject, but in a market where numerous titles are available for the
discerning buyer this book is a hit dull in thaﬁ, unlike others, it
has only black and white photographso One would have thought that With
the hundred of excellent prints available today, the publishers would.
have updated the older prints. Therefore the appearance of the book
is very 1950-isho

ﬂ 2 -


AP?EA"
,,,,,,,,,,,DEFE-24-1925_16,",3 5“}3 ,,
3mg” {724$
(-51“.

(.‘Cm'rr'ﬁ
ﬂaw

go ugwa

 

$3

[Mfg 30$ [ﬁﬁwh m£}k( %ﬂ¢$ 1v

wgwé. x 4‘7'

“E&‘jﬂ‘ﬂ' w-cw ﬁg” Vi’ ”EL Vl’ﬁeivtq/ .kww’ct:
‘Oﬁwx’? Wk kg?” M \I- 6%» W ngwg-ﬁn “5""qu

42$ MM; AWE) Mr )«ML
1L ’ —0Kr¢4ﬂV%L ; «g; 2“i} Wm ‘ﬁL@'»¢iLm'j~ ‘ ya
» 41Mt _ L

.. , J
L}! Jéz’htlﬂ-Mkw ,‘ “w 4‘ g)”

2 x A

. n3 ‘V%xﬁ+wmu, ‘ ﬁg ;:W1ki‘ . wa¢ _

quM&%r *wx£« A ”if 2r
IA

WQXW-ng/ $24? ML 1 L f
.~ .3 ‘ .1, l A :2 mail“
”3:334. 419’ ,6“; Wargwk JyW» , 1“ 42’: V g, m,

-f E. 4.5639,, ' . ‘._ I . _
‘ V2- *2"" '1’ MN “g ’0' ’ ’ Mm?
K‘ﬁa » “16k"" ,3 {73 p
5‘: 3,. )w M‘TJZ'WE; ht}- (MW6~ ‘l 1 ?%ery wwplm.‘
f ,I 1-33"" . ' x. ' 7'

yrgja

M «baa,» {99$ ‘fgnmw‘ii walk» vé/ "" WW “MM?

Q:


,3 5“"
,,,,,,,,,,,DEFE-24-1925_103,"Lord Trefgarne repeated that none of the reported sightings
examined had proved to have any defence implications. He did
not wish to appear unhelpful, however, and he undertook to
consider whether any steps could be taken to allay the concerns
of those like Lord Hill-Norton.

PS Minister

 

§§;October 1985


Lord"
,,,,,,,,,,,DEFE-24-1925_117,"DEDAE‘Y «1ENT OF"" THE 1""? FOR CE

 

‘ .
""4 "" ""‘ HEAL‘OUAL‘HL‘S 3151 C(L’Ltf‘u‘d -,,1.1. '1! 1:401» {usury
:' ’1“ Ai‘() mjw f(‘kk 11.1135
h!
n‘n-w to ~ , ‘ > '13; ’V‘T‘r'i}?""
A111: 111 CD 1.1 Jan 81 #4:;
amuc“ Unexp1d1ned Lights

1: RAF/CC

1. EarTy 1n the n10rn1ng 0f 27 Dac “O (4'p1o.11u1u1/ O3DOL), two USAF
secur1ty police pat101h.(H saw 11nu53a1 1igh :3 outside the hack gate at
RAF.loodb11dge. 1h1n1:1ng ah aircrafi m1ght ha'c craz;hed or been fcrced
down, thny ca110d for p11n1331on to h - s1de the gate to invc: igate.
The on- duty fiight Chief 103ponded11ozed three patrolman :0 pro~
ceed on foot. The 1nd1v1duals renn‘_ed seeing a strange glowing shject
1n the forest. The 'bject was de < bed as he1ng met311c 1h appearance
and tr1angu1ar 1n shape, p01011met11v two to three meters across the
base and approx1mate1y {we meters high. 1: 111u1n1natcd the enL1re forest
w1th a white 11ght. The object 1tsc1f had d Du151ng 10d 11ght on Lop and
a hank(s) of b1un 11th3 underneath. Thw object was havc~1ng or on 189$.
1,

 

As the patro1men appr .1Lhed the object, it maneuvered th1‘0ujh the trees
and d1sappea1ed. ﬁt 1 ' ‘ ; the 1h1n515 on a medrbytfarm want 1nto a
frenzy. The object was 131 ef1y sighted approx1mate1y an heur 1a Cer ne ar
the hack gate.

1/2” deep and 7” in diameter were
ed on the ground. The fo11ow1hc
3 23d 501 13 ad1aticn. ”Ltn/oomnu r53d1ng3
of 0.1 W1111r0’htgpﬂ3 we1e FCC 01'2- 1 eak read1ngs 1n the three de—
pre$s1ons and nea1 the center of t! 11angle formed by the dapress?
A nearby tree had moderate ( OS- 17} read1ncs on the side of the tre.
toward the depressions.

2. The next day, three depress
feund where the object had tgcn
n1ght (29 Dec 550) the area was c1

3. Later 1n the night a red Sun-111E 11ght th 5.2n through the 1.903
It moved ab0ut and pu1sad. At one point 1t appeared to ChFCJ off g?nw1nr
part151cs and then broke into five separate uh1th ob11rf t
appeared Immed1at81y thereafLer, Lhrrc 3:3v«11kv w
1n the 31y two objects to the 001th and one :3 1
were abou L 109 off the her izon. The objects moved
luc 1 ht

move 1heht5 and1111splayed 196, grcun and b 19
north appeared to be @1119 ice] thr0ugh an 8~?2
turned to fu11 c1rc1es T ‘euLs to the north rema1ned 1n the sky for

an heur or more The objeu 10 the ssuth was v151b1e for two or three

hours and beamed dawn a St111u1of 11ght from t1ma to t1me. f u1hcrous indivi—
duals, 1nc1ud1ng the unders1gned, w1<:ne$sed the act1»1t1es 1n paragraphs

///// 1

canLgs 111111 Lt (:01 USAF
Deputy 3(SG CWhMAno 1

 

1"".

 

 


DEDAE"
,,,,,,,,,,,DEFE-24-1925_301,"éioom

 

210

 

x

 
 

9
Ta
I;
IV\
a
«C

E}..-

»

 
 

. ‘1. \w \r

 

 

'W"
,,,,,,,,,,,DEFE-24-1925_315,".
é
‘
g.

3
_1
.
'l
3

Learn :-

4.3‘i‘a:ve§_{;JE‘5-Ziin;

36:3; 1 z

- 1 '-.'¢;>.“s.;-.~;.\::Mz__:‘i; “(1m
.

'4.‘-_~.L-

 
 

ix
V' . . I. ‘ f/f
Head of 5%?Cﬂﬂhﬂj
‘V ‘;2,

I attach a letter which the Secretary of
State has received from a member of the public,
and which has been acknowledged by this office.

Z.’ I should be grateful if you would arrange
for the appropriate action to be taken, includir
a reply as necessary. Since the Secretary of
State attaches importance to such letters
addressed to him being answered promptly, any
reply should be sent within two weeks of the dat
of this minute. If, exceptionally, this should

prove impossible an interim reply should be sent
within the same timescale.

 

143M

for APS‘Secretar§'e£ State

I-Qﬁwg
;v.


 

."
,,,,,,,,,,,DEFE-24-1925_329,"seems to me to deserve closer and more expert attention in Whitehall than we are

led to believe it gets at present. There is evidence that at least three other
governments take t e phenomenon seriously. A mass of documents released in the

US under the American Freedom of Information Act shows a close and continuing
interest by governmental agencies. The French agency GEPAN (Groupe d' Etudes des
Phenomhnes Aerospatiaux Non—identifies) which was set up by the then French
Minister of Defence in 1977 under CNES (Centre National d' Etudes Spatiales) rem—
ains in existence despite the heavy retrenchment in French government expenditure
and continues to collect and analyse UFO reports countrymwide. And there is a
degree of recent evidence in the Soviet Press that the Russians take a close
interest in the phenomenon through the Moscow Aviation Institute and (possibly)
the Natlonal Academy of Sciences IS it really the Case that the BrjtlSh MOD
takes no systematic interest (as distinct from dealing ad hoc with what are felt
to be tiresome enquiries from the public) ? If there really is no systematic
study of the phenomenon, viz. something in the nature of a small expert committee
in Whitehall or the placing of responsibility on a designated and expert director—
ate in the MOD, should there not be ? Is there no liason with French and US
agencies ?

I hope that you will feel able to comment on the three questions at
the end of the preceding paragraph. I ask them, not in any spirit of contention,
but because I believe that we cannot afford to ignore a persistent phenomenon
which other countries appear to take seriously. It seems to me to deserve systematic
study within a Defence context, even if only to dismiss it in the end as trivial.
I think you will know that there are otherSgwhose judgement is to be respected and
whose experience qualifies them,who take a similar view, Lord Hill-Norton among
them.

To return to the particular case of RAF Woodbridge, you may already
be aware that television documentaries of the occurrence have been made by two
foreign companies. The programme made by Cable News Network is now likely to be
shown in this country before long. I have not yet seen the documentary in full,
myself, but I understand from the organisation that they claim to have established
a number of facts which are very much at odds with the view that C01. Halt and
other USAF personnel merely misperceived some phenomenon with a wholly conventional
explanation (the Orfordness lighthouse, a satellite re-entry, a bright meteor).
The following are among the more important points which Cable appear to be claiming.

1. Col. Halt adheres to the report of 13th January 1981, of which the MOD
has a copy. He also confirms the authenticty of a tape—recording made by
himself on site on the night of 29th December 1980 which tallies with
paragraph 3 of his report (and in some respects goes beyond it).

2. Other witnesses to the events of 27th and 29th December 1980 reported
by Halt have made sworn depositions.

3. Although not reported by Halt, there was an unusual occurence near
RAF Woodbridge on the night of 26th December 1980. An unidentified object
in an area of Rendlesham Forest sufficiently worried USAF personnel to
cause them to seek help from the Suffolk police. Police officers at
Woodbridge (the village) have confirmed that they responded to this call,
albeit without establishing unambiguous evidence at the site of the
'sighting' claimed by the USAF contingent which had been sent to investi—
gate it.

4. There is evidence that RAF Watton (and perhaps other radar installations)
had radar traces on at least one of the three nights in question of an
unidentified aerial object in the area of RAF Woodbridge/Rendlesham Forest.

5. There is evidence that a 16mm cine—film was made at the site by USAF
personnel on 29th December 1980 and was referred for study by the USAF
headquarters in Germany.


seems"
,,,,,,,,,,,DEFE-24-1925_328,"/""' T""\ ""\
i l¢t} Ii? :;53

25th February, 1985

3
4!

Esq.,’

Head of D88,
Ministry of Defence.

 

You may remember that I wrote to you in November 1983 about the
reported occurrence of unusual events near RAF Woodbridge in December 1980. Your
reply, D/D88/10/209 of 20th March 1984, told me that the MOD saw no Defence
significance in Colonel Halt’s report of 13th January 1981. You suggested that
the events reported by him probably reflected some entirely down—to—earth, but
misperceived, phenomenon.

I am aware that D88 has had several approaches on this matter from
outside groups and individuals who possibly show more enthusiasm than judgement
in the questions they press. I hesitate to place a further burden on the patience
and courtesy of your Division. Nonetheless, there do remain some puzzling, and
perhaps disquieting, features of this case on which I think it would be in the
general interest to cast some further light.

I owe it to you to explain my interest. It lies in the following —

not necessarily in the right order of priority I

First, as an ex—MOD chap, I have been asked from time to time by
various bits of the media to comment on the Woodbridge affair. I have in fact
done so on several occasions on local radio and on foreign television. One of
the television programmes is now likely to be shown here before long and may
excite some public interest. If I am invited to comment again, I would not wish
to do so irresponsibly.

Secondly, I am publishing a book this June on the UFO phenomenon
generally. My publishers are keen that it should say something about Woodbridge.
I have already drafted a passage which reflects my own study of the case, and I
am attaching to this letter the relevant extracts which deal with it. I do not,
of course, expect you to comment on this (unless you wish to do so), but I feel
it is no more than proper to give former colleagues some advance notice of what
I am proposing to publish.

Thirdly, as the attached extract implies, I have come to the con—
clusion over the past year or so — somewhat reluctantly and by no means hastily —
that something of importance (and something which is not illusory) underlies the
persistent stream of reports of well authenticated occurrences, both in the UK
and elsewhere, which can be loosely grouped under the UFO heading. Some of these
reports reach the MOD from members of the public (and they doubtless also continue
to do so from Service establishments as well); but a far larger number get no
further than the local police, civil aviation authorities, or the amateur research
groups. These occurrences may or may not prove to have any vital interest for
Defence, and the Woodbridge case may or may not properly belong among them. But
the sizable and persistent hard core of the more disquieting instances — particul—
arly those in which there appears to be some degree of temporary interference
with electronic equipment and/or minor damage to individuals and the environment —


/""' T"
,,,,,,,,,,,DEFE-24-1925_314,"NE

A GOH

 

 

 

 

 

 

 

 

 

 

 

 

 

'50

 

 

 

 

 

73

 

 

 

 

 

 

 

InnoIM’
:‘ n

b

numwé

9'

54°39

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

7|

 

 

 

 

 

 

,fm

, d
""y z? 7"" ofﬂv‘
o:

70

 

 

 

 

 

 

 

“0“- 5'0‘ 7V MW!
. 4 ‘

 

 

 

 

 

 

 

 

 

 

lady

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

Benin:

1‘
W.

 

 

 

 

 

 

 

 

 

 

 

5-» .- »
_..v¢ ’
E“- 1) ‘ 23y»: are.

,5:

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

‘(Dgr {or \

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

- .

Xhm‘.‘ ,... ' H ""15’ h
“4. - >r'; .' f

"".2 ry

 

 

 

rm '

 

 

 

 

. iii:

 

 

 

 

 

 

 

 

 

 

 

 

‘3. rl ,3
Hwy.
—. /
Mlla /I

”'1me
n N.

 

 

\65

 

 

 

 

 

 

 

 

‘I
I 3, (9‘ \' 5‘5“” 5
, V / -: 9‘
”In. 131» 9 ’A

\ N?!“ 54°30’

, (Illa “5 'g

m

\’< /

 

M ~

M

J“?

u-

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

HE‘GHTS
IN

""ww-"
,,,,,,,,,,,DEFE-24-1925_300,"3,.“an 3..

(a {C a

 

1.? T. 5......

 

 

- 3.33% ._"
,,,,,,,,,,,DEFE-24-1925_116,"Overall, we believe that the fact that Col Halt did not report
these occurrences to MOD for almost 2 weeks after the event, together
with the relatively low key manner in which he handled the matter
(given resources available to him) are indicative of the degree of
importance in defence terms which should be attached to the incident.
He himself took all investigative action which was required. If
members of the public feel that for scientific or other reasons,
there should be an attempt to establish the cause of what happened,
that is for them, but I am confident that it is not something in

which the MOD should or need become further involved.


Overa"
,,,,,,,,,,,DEFE-24-1925_102,"u""

 

 

MINISTER OF STATE FOR DEFENCE

LOOSE MINUTE

D/MinCDS)DGT 28/l/ﬂ

Copy to:
DSTI

D Air Def
GE3

D1550

UNIDENTIFIED FLYING OBJECTS — MEETING WITH LORD HILL—NORTON:
THURSDAY 10 OCTOBER 1985

 

 

You were very kindly present when Lord Trefgarne met Lord Hill—
Norton at 11 am at UKLF on Thursday 10 October to discuss
Unidentified Flying Objects.

Lord Trefgarne opened the discussion by explaining that there
was a central secretariat within the Ministry of Defence, part
of whose responsibility was to act as a focal point for the

report of unidentified sightings. Their task was to consider
whether there were any defence implications from such reports.

Lord Hill-Norton emphasised that he believed quite sincerely
that there was a problem of UFOs. He had considered for a
number of years that the MOD's response to reported sightings
had been unsatisfactory.

Specifically he cited the incident at Woodbridge in 1980 and
criticised the alleged refusal by MOD to acknowledge the presence
of Lieutenant Colonel Halt's report for 2% years. He referred

to a number of papers released in the United States under the
Freedom of Information Act which had been carefully examined in
the United States, and which he considered would be of interest
to the MOD. He also referred to a book due to the published
shortly which is anticipated to be critical of the MOD in this
area.

3
1;!) £4
“ Itit’b
after t),

“a..."" «wow-

 


u"""
,,,,,,,,,,,DEFE-24-1925_17,"V». «12.. am my mama“!

 

,f 9.: H, mm“ (r: 411-. ya 3 1’53; I ?wa' jytw'ﬁ‘ goon»- \I' '8’ r. - Hw—q

 
 
 
 
 

£T€'hé:— wmtia 3- ir‘r 'If‘ﬂ-Wa 'Cw-M‘9‘ﬁv‘”
‘I

W. 5’? 1% f’—- S

{gig weﬁ

wrafﬁ‘i 6 ""K 5

.. .53st ‘. ‘
9:2”: Rem. .g . MW
53531.3?» 3 mnéwwgs 13mg”: lggii's’ﬁﬁ A
. 3” .""a ‘ ~ vg“ — ‘
mualwkg . EI‘” - 3. {(135511
L "" ' W‘ 8“th“
Cw. ' ‘ I ' ‘
L1; 1""! J?EL‘ h ,3.u-¢ﬂv
""‘t:s»'<‘4¢- l“: *
""‘ ‘ 1': eP-l- ‘5' T m‘éﬂu xx
_ ' 12%.: v‘
“N; , gammaéi n """" “3‘ ‘
hy ‘ N -
v 4,, ac <‘. F4.“ - ~55
’é‘wmlw Itﬁi‘r‘f‘ﬂ‘y Mi: U > v w r
> (-31 0 105.04th 41/5 . ' ‘36:” a
,1.“ v‘ In ' .
Rf g :a/lzﬁfvw?“ 13:3an 1
$5 9161’? I .gg;8bﬂ‘£m ' -""- X E
.. ‘ P ‘ _ v “‘9‘,“
:- 4; 2v 9 ~61: rr-‘h‘s‘ V ""1'“; MW 4
1 ‘ J ’

.c‘rggv‘h

' ./
552,“?55 «.16 S We» 9 ('0

pmsﬁtﬁz‘ 51in"" "" "" ""
4...,Mw-«v— ' ~' ~1 am»? 6 am: 63 . L"" '2” “‘6'

 

Guﬁﬁm 5. S «ta.

« .. » ' k a 535'
(#195 3 “1%“ “‘2' éqz'233“ < ELL” W ﬂasp££$ii,

 

 

ﬁ/J “I’M? 4gb”? “mei- ﬁsh)“; ""‘*‘ - u em! ,

‘ll «:92. “3:? N: “‘ V'M‘ 6""
ﬂ."" 1‘ ' »' mam“. ‘-'~ ' x r” “1“?“

5». ‘ ""W6 W ""EX”
‘ a k
Jig’tyb‘f 4""» t’. :1; 3mg}. ca?“ “.7 \r *4?
f P"" J: erd -— ix“ 91‘; ‘6

Mvzéas n; ymmw ”*3"" ””4““ W. “'1'.

.. . » (tea: j «anew:

uémréil.
I
33y i‘vE-W‘Ei E ! @wxr-rceﬁ
. . t'ywun‘ti f.“ “3’ W'éﬁ’rw""
- . , “Q'ow’ “
“Jay... 4-: 46L ) me'jmyzﬁ’m-
_ , 5.; w‘iii
v-cJ-vt’ «twwwﬁm’ ' . ‘ -@ m3? .. '1‘5’ """"9”
V . J"" -
3"")"" Vnw’izié3 25‘
Gum’n‘

I3 .
‘ _ . p .- 1mg;— )9 J»- «r g
6.11.: M :1 39:67:“) (a '3 M «w»? 2 i“ \ :M' x“ . ff?

(£1:in 7!}; V‘-

 


V». «"
,,,,,,,,,,,DEFE-24-1925_248,",ENTREW UPDAWT}:

.. .«A-s- 09., ..»—o....... ,.....M

:j‘rifmb'eEN-‘i. , “..,~>. :7: ""- ""‘_ ISBN 0262_77{)-5‘

@Lcmgmimypbi 9.2 i:9; .99...0.§EA13. .JQURA: Eula

Compilerf D L. BEES,
CSEAP Reg) 083 Cf ntr'
?B'Edmonuson Street,
Bnrr-DJiswick, Lancashire,
253:3 5173’ imgzand .

PLEASE NOTE; All LcnIusJC ﬁance must incluﬁe a
stamped ----- rdd Lass- c.gelope if a rqply is éesired.

 
 
 
 

 

""-' ‘4-
:1 FCC L1“? u-Sil

.. ' .. mh‘:1.‘3;bt
98: mils will cease ~ so
anything sen; . 1 not get through. Also,
. pub.icaL:ons sunt to tan above a AIess and not 10 any group
The? addresscs in C?awe. k0 hope you will take note of the above, if
you have rat 372

 

 

 

 

 

'I -‘ ""‘ w A
{LL17 [Lube 5-va

 

Uj”""” CI:

 

Tncnlm 70 out so 3’; Ll Gibbons, atl Sc creeuon, Chris A Ten and
Eric Ogden for resend donations to 35; C0 wn. re. NQJS incom’*q, exchanges
are Solna Astronomiska Farr GA jﬁewsh. 0tto:., NQth . urican UF‘O
Lusc.ation and W grab?f,. 21B p ans vo*5;u~ total Oir con‘rl utions to ﬁhe

3
Centre is now 12426 «.an increase of 833 since Tar rah 1984a

 

 
 
 

A

A

 

TEES

h“ is no longera ssociated with the
. e '2. .‘ n3- . -~ is now a founding member of UFO
Research Asst :ia n who are to publizh UAAO Research Australia NeVJSIetter
and UFO Research Digest. H? cad be conc ‘acteﬁ atz» P.0. Box 229, Prospect,
Souﬁh Australia 508 2. ‘

 

. Insight Mag aanm CapIQIt Lhe JOfld Cf the occult andiincludes book
reviews and readers‘ let 9: 3 ~ a L’“p e eopv is onlv £1. 20. write to
25 Calmore Close, 3' ou;rale I .dows Bburnemouth, Dsrseto

 

515.9922-
THE V TIES NA[»”R-ILTP S In .18 ATWD MIEFS OF MODERN WITCHCRAFT/
Janet and Stewar F;rr?r {:ale) 3? - pages — £1Aa95.

AN ABC 0F WIT CHCRAFT P'\ST AND FRDSVWL/Dorpbn valiante (Hale reprint)
400 pages ~ £9395.

""ORNISIL Immmgcs AND H3 t'LLe-'§x:.\/T\O“1""1d R. Rama (Hale) 192 pages — £8.50.


,ENTR"
,,,,,,,,,,,DEFE-24-1925_260,"626)
627)
628)
629)
6&0)

Project U???)c Paper
Tunstall, Pu First

UFO Phenomenao
UFO Internationalo
UFO International»

Int e‘.

B u Seconc ﬁditioia URD/1981.

.1 annual Review Vol» 1 No” 1:
ng Report Catalogue 1977~79o
-t: Indexc BIO Zu/19780

 

~~~ooOoom—w

... xi .v.

UTIAR/19820
UTO 10/19809


626)"
